environment,algorithm,seed,episode,train_reward,eval_reward
LunarLander-v3,ppo,0,116,-200.1555,
LunarLander-v3,ppo,0,117,-342.5193,
LunarLander-v3,ppo,0,118,-102.9572,
LunarLander-v3,ppo,0,119,-137.5493,
LunarLander-v3,ppo,0,120,-98.9789,-426.0124
LunarLander-v3,ppo,0,121,-394.3548,
LunarLander-v3,ppo,0,122,-47.2714,
LunarLander-v3,ppo,0,123,-73.4273,
LunarLander-v3,ppo,0,124,-170.8997,
LunarLander-v3,ppo,0,125,-228.886,
LunarLander-v3,ppo,0,126,-116.2641,
LunarLander-v3,ppo,0,127,-131.8705,
LunarLander-v3,ppo,0,128,-89.9649,
LunarLander-v3,ppo,0,129,-134.7684,
LunarLander-v3,ppo,0,130,-107.455,
LunarLander-v3,ppo,0,131,-100.0372,
LunarLander-v3,ppo,0,132,-275.1228,
LunarLander-v3,ppo,0,133,-327.5557,
LunarLander-v3,ppo,0,134,-105.3216,
LunarLander-v3,ppo,0,135,-389.3973,
LunarLander-v3,ppo,0,136,-174.5667,
LunarLander-v3,ppo,0,137,-168.0673,
LunarLander-v3,ppo,0,138,-97.4358,
LunarLander-v3,ppo,0,139,-211.6197,
LunarLander-v3,ppo,0,140,-137.5715,-183.31
LunarLander-v3,ppo,0,141,-158.1132,
LunarLander-v3,ppo,0,142,-266.6815,
LunarLander-v3,ppo,0,143,-47.3355,
LunarLander-v3,ppo,0,144,-125.2024,
LunarLander-v3,ppo,0,145,-165.7219,
LunarLander-v3,ppo,0,146,-155.2627,
LunarLander-v3,ppo,0,147,-45.1662,
LunarLander-v3,ppo,0,148,-136.5801,
LunarLander-v3,ppo,0,149,-130.5394,
LunarLander-v3,ppo,0,150,-139.3363,
LunarLander-v3,ppo,0,151,-142.2618,
LunarLander-v3,ppo,0,152,-265.6866,
LunarLander-v3,ppo,0,153,-171.7791,
LunarLander-v3,ppo,0,154,-190.8812,
LunarLander-v3,ppo,0,155,-102.3905,
LunarLander-v3,ppo,0,156,-299.8726,
LunarLander-v3,ppo,0,157,-70.3766,
LunarLander-v3,ppo,0,158,-59.2634,
