environment,algorithm,seed,episode,train_reward,eval_reward,epsilon
LunarLander-v3,dueling_dqn,0,84,-120.098,,0.280959
LunarLander-v3,dueling_dqn,0,85,-215.9077,,0.276745
LunarLander-v3,dueling_dqn,0,86,-70.9464,,0.272594
LunarLander-v3,dueling_dqn,0,87,-10.7273,,0.268505
LunarLander-v3,dueling_dqn,0,88,-9.5729,,0.264477
LunarLander-v3,dueling_dqn,0,89,-172.107,,0.26051
LunarLander-v3,dueling_dqn,0,90,-46.1202,,0.256602
LunarLander-v3,dueling_dqn,0,91,-12.2144,,0.252753
LunarLander-v3,dueling_dqn,0,92,-86.5557,,0.248962
LunarLander-v3,dueling_dqn,0,93,-85.5627,,0.245228
LunarLander-v3,dueling_dqn,0,94,-60.4769,,0.241549
LunarLander-v3,dueling_dqn,0,95,-51.3386,,0.237926
LunarLander-v3,dueling_dqn,0,96,20.2826,,0.234357
LunarLander-v3,dueling_dqn,0,97,-77.7891,,0.230842
LunarLander-v3,dueling_dqn,0,98,-41.3251,,0.227379
LunarLander-v3,dueling_dqn,0,99,-34.2375,,0.223968
LunarLander-v3,dueling_dqn,0,100,20.6935,58.6567,0.220609
LunarLander-v3,dueling_dqn,0,101,30.5375,,0.2173
LunarLander-v3,dueling_dqn,0,102,58.7218,,0.21404
LunarLander-v3,dueling_dqn,0,103,-153.0264,,0.21083
LunarLander-v3,dueling_dqn,0,104,48.4082,,0.207667
LunarLander-v3,dueling_dqn,0,105,-102.4693,,0.204552
LunarLander-v3,dueling_dqn,0,106,-206.866,,0.201484
LunarLander-v3,dueling_dqn,0,107,-185.0306,,0.198462
LunarLander-v3,dueling_dqn,0,108,-46.4575,,0.195485
LunarLander-v3,dueling_dqn,0,109,11.1233,,0.192552
LunarLander-v3,dueling_dqn,0,110,0.0754,,0.189664
LunarLander-v3,dueling_dqn,0,111,-202.4199,,0.186819
LunarLander-v3,dueling_dqn,0,112,-148.6367,,0.184017
LunarLander-v3,dueling_dqn,0,113,-286.0533,,0.181257
LunarLander-v3,dueling_dqn,0,114,-26.1117,,0.178538
LunarLander-v3,dueling_dqn,0,115,-45.7034,,0.17586
LunarLander-v3,dueling_dqn,0,116,0.9353,,0.173222
LunarLander-v3,dueling_dqn,0,117,-175.3847,,0.170624
LunarLander-v3,dueling_dqn,0,118,-34.8421,,0.168064
LunarLander-v3,dueling_dqn,0,119,48.8608,,0.165543
LunarLander-v3,dueling_dqn,0,120,-34.5836,-45.4441,0.16306
LunarLander-v3,dueling_dqn,0,121,6.7082,,0.160614
LunarLander-v3,dueling_dqn,0,122,-111.1601,,0.158205
LunarLander-v3,dueling_dqn,0,123,-69.5695,,0.155832
LunarLander-v3,dueling_dqn,0,124,-13.8291,,0.153494
LunarLander-v3,dueling_dqn,0,125,-34.483,,0.151192
LunarLander-v3,dueling_dqn,0,126,8.4675,,0.148924
LunarLander-v3,dueling_dqn,0,127,31.7638,,0.14669
LunarLander-v3,dueling_dqn,0,128,-1.8212,,0.14449
LunarLander-v3,dueling_dqn,0,129,72.579,,0.142323
LunarLander-v3,dueling_dqn,0,130,-17.1044,,0.140188
LunarLander-v3,dueling_dqn,0,131,-4.7881,,0.138085
LunarLander-v3,dueling_dqn,0,132,-33.334,,0.136014
LunarLander-v3,dueling_dqn,0,133,-212.3595,,0.133973
LunarLander-v3,dueling_dqn,0,134,-41.8621,,0.131964
LunarLander-v3,dueling_dqn,0,135,2.2676,,0.129984
LunarLander-v3,dueling_dqn,0,136,-161.4496,,0.128035
LunarLander-v3,dueling_dqn,0,137,-102.0862,,0.126114
LunarLander-v3,dueling_dqn,0,138,-98.457,,0.124222
LunarLander-v3,dueling_dqn,0,139,-4.6589,,0.122359
LunarLander-v3,dueling_dqn,0,140,57.5112,-60.767,0.120524
LunarLander-v3,dueling_dqn,0,141,13.047,,0.118716
LunarLander-v3,dueling_dqn,0,142,-25.6213,,0.116935
LunarLander-v3,dueling_dqn,0,143,-167.116,,0.115181
LunarLander-v3,dueling_dqn,0,144,-43.5959,,0.113453
LunarLander-v3,dueling_dqn,0,145,-118.003,,0.111752
LunarLander-v3,dueling_dqn,0,146,-8.2874,,0.110075
LunarLander-v3,dueling_dqn,0,147,29.3194,,0.108424
LunarLander-v3,dueling_dqn,0,148,17.4167,,0.106798
LunarLander-v3,dueling_dqn,0,149,12.1323,,0.105196
LunarLander-v3,dueling_dqn,0,150,12.5738,,0.103618
LunarLander-v3,dueling_dqn,0,151,-110.9778,,0.102064
LunarLander-v3,dueling_dqn,0,152,-103.8309,,0.100533
LunarLander-v3,dueling_dqn,0,153,-183.6266,,0.099025
LunarLander-v3,dueling_dqn,0,154,-80.2911,,0.097539
LunarLander-v3,dueling_dqn,0,155,-69.2431,,0.096076
LunarLander-v3,dueling_dqn,0,156,-93.164,,0.094635
LunarLander-v3,dueling_dqn,0,157,-129.677,,0.093216
LunarLander-v3,dueling_dqn,0,158,-97.6696,,0.091817
LunarLander-v3,dueling_dqn,0,159,-4.2452,,0.09044
LunarLander-v3,dueling_dqn,0,160,-126.6424,-86.5971,0.089083
LunarLander-v3,dueling_dqn,0,161,16.7602,,0.087747
LunarLander-v3,dueling_dqn,0,162,-129.5956,,0.086431
LunarLander-v3,dueling_dqn,0,163,-104.3484,,0.085134
LunarLander-v3,dueling_dqn,0,164,5.2297,,0.083857
LunarLander-v3,dueling_dqn,0,165,-90.907,,0.0826
LunarLander-v3,dueling_dqn,0,166,-114.9327,,0.081361
LunarLander-v3,dueling_dqn,0,167,-80.3328,,0.08014
LunarLander-v3,dueling_dqn,0,168,-7.0914,,0.078938
LunarLander-v3,dueling_dqn,0,169,-120.9692,,0.077754
LunarLander-v3,dueling_dqn,0,170,14.24,,0.076588
LunarLander-v3,dueling_dqn,0,171,-115.9165,,0.075439
LunarLander-v3,dueling_dqn,0,172,-74.0226,,0.074307
LunarLander-v3,dueling_dqn,0,173,-22.4709,,0.073193
LunarLander-v3,dueling_dqn,0,174,14.7621,,0.072095
LunarLander-v3,dueling_dqn,0,175,16.6171,,0.071013
LunarLander-v3,dueling_dqn,0,176,-72.4493,,0.069948
LunarLander-v3,dueling_dqn,0,177,4.7775,,0.068899
LunarLander-v3,dueling_dqn,0,178,-142.572,,0.067865
LunarLander-v3,dueling_dqn,0,179,-139.2187,,0.066848
LunarLander-v3,dueling_dqn,0,180,-136.3217,-79.4166,0.065845
LunarLander-v3,dueling_dqn,0,181,-109.5946,,0.064857
LunarLander-v3,dueling_dqn,0,182,-56.958,,0.063884
LunarLander-v3,dueling_dqn,0,183,16.4841,,0.062926
LunarLander-v3,dueling_dqn,0,184,-153.8393,,0.061982
LunarLander-v3,dueling_dqn,0,185,-82.3773,,0.061052
LunarLander-v3,dueling_dqn,0,186,-108.6141,,0.060137
LunarLander-v3,dueling_dqn,0,187,2.4046,,0.059235
LunarLander-v3,dueling_dqn,0,188,-131.0003,,0.058346
LunarLander-v3,dueling_dqn,0,189,-99.3047,,0.057471
LunarLander-v3,dueling_dqn,0,190,-116.1975,,0.056609
LunarLander-v3,dueling_dqn,0,191,-132.9354,,0.05576
LunarLander-v3,dueling_dqn,0,192,-75.5815,,0.054923
LunarLander-v3,dueling_dqn,0,193,-72.7218,,0.054099
LunarLander-v3,dueling_dqn,0,194,-111.5949,,0.053288
LunarLander-v3,dueling_dqn,0,195,-9.9522,,0.052489
LunarLander-v3,dueling_dqn,0,196,-131.5393,,0.051701
LunarLander-v3,dueling_dqn,0,197,-48.0351,,0.050926
LunarLander-v3,dueling_dqn,0,198,-129.0,,0.050162
LunarLander-v3,dueling_dqn,0,199,-40.9983,,0.049409
LunarLander-v3,dueling_dqn,0,200,-30.7382,-80.6721,0.048668
LunarLander-v3,dueling_dqn,1,1,-98.3809,,0.985
LunarLander-v3,dueling_dqn,1,2,-116.7487,,0.970225
LunarLander-v3,dueling_dqn,1,3,-114.8904,,0.955672
LunarLander-v3,dueling_dqn,1,4,-357.9168,,0.941337
LunarLander-v3,dueling_dqn,1,5,-106.8744,,0.927217
LunarLander-v3,dueling_dqn,1,6,-137.6304,,0.913308
LunarLander-v3,dueling_dqn,1,7,-389.9328,,0.899609
LunarLander-v3,dueling_dqn,1,8,-114.6448,,0.886115
LunarLander-v3,dueling_dqn,1,9,-122.6615,,0.872823
LunarLander-v3,dueling_dqn,1,10,-160.3977,,0.85973
LunarLander-v3,dueling_dqn,1,11,-211.9503,,0.846834
LunarLander-v3,dueling_dqn,1,12,-233.8152,,0.834132
LunarLander-v3,dueling_dqn,1,13,-231.7039,,0.82162
LunarLander-v3,dueling_dqn,1,14,-256.1015,,0.809296
LunarLander-v3,dueling_dqn,1,15,-104.2681,,0.797156
LunarLander-v3,dueling_dqn,1,16,-348.5082,,0.785199
LunarLander-v3,dueling_dqn,1,17,10.2507,,0.773421
LunarLander-v3,dueling_dqn,1,18,-0.1066,,0.76182
LunarLander-v3,dueling_dqn,1,19,-163.7724,,0.750392
LunarLander-v3,dueling_dqn,1,20,-197.9782,-58.9735,0.739136
LunarLander-v3,dueling_dqn,1,21,-257.383,,0.728049
LunarLander-v3,dueling_dqn,1,22,-66.7024,,0.717129
LunarLander-v3,dueling_dqn,1,23,-53.9353,,0.706372
LunarLander-v3,dueling_dqn,1,24,-37.2636,,0.695776
LunarLander-v3,dueling_dqn,1,25,-232.7373,,0.685339
LunarLander-v3,dueling_dqn,1,26,-102.4417,,0.675059
LunarLander-v3,dueling_dqn,1,27,-168.1588,,0.664934
LunarLander-v3,dueling_dqn,1,28,-175.6444,,0.65496
LunarLander-v3,dueling_dqn,1,29,-80.1542,,0.645135
LunarLander-v3,dueling_dqn,1,30,-142.4705,,0.635458
LunarLander-v3,dueling_dqn,1,31,-91.3345,,0.625926
LunarLander-v3,dueling_dqn,1,32,-22.4038,,0.616537
LunarLander-v3,dueling_dqn,1,33,-147.6703,,0.607289
LunarLander-v3,dueling_dqn,1,34,-115.1705,,0.59818
LunarLander-v3,dueling_dqn,1,35,-191.4782,,0.589207
LunarLander-v3,dueling_dqn,1,36,-133.004,,0.580369
LunarLander-v3,dueling_dqn,1,37,-89.3829,,0.571664
LunarLander-v3,dueling_dqn,1,38,-207.0735,,0.563089
LunarLander-v3,dueling_dqn,1,39,-58.9916,,0.554642
LunarLander-v3,dueling_dqn,1,40,-101.9552,-111.0858,0.546323
LunarLander-v3,dueling_dqn,1,41,-25.6801,,0.538128
LunarLander-v3,dueling_dqn,1,42,-172.3831,,0.530056
LunarLander-v3,dueling_dqn,1,43,-79.0106,,0.522105
LunarLander-v3,dueling_dqn,1,44,-157.6456,,0.514273
LunarLander-v3,dueling_dqn,1,45,16.9381,,0.506559
LunarLander-v3,dueling_dqn,1,46,-135.6308,,0.498961
LunarLander-v3,dueling_dqn,1,47,-60.7901,,0.491477
LunarLander-v3,dueling_dqn,1,48,-206.7344,,0.484104
LunarLander-v3,dueling_dqn,1,49,-68.2925,,0.476843
LunarLander-v3,dueling_dqn,1,50,-119.9526,,0.46969
LunarLander-v3,dueling_dqn,1,51,-6.0953,,0.462645
LunarLander-v3,dueling_dqn,1,52,-90.6527,,0.455705
LunarLander-v3,dueling_dqn,1,53,-131.1196,,0.44887
LunarLander-v3,dueling_dqn,1,54,9.4898,,0.442137
LunarLander-v3,dueling_dqn,1,55,-115.7029,,0.435505
LunarLander-v3,dueling_dqn,1,56,-68.7449,,0.428972
LunarLander-v3,dueling_dqn,1,57,-131.7818,,0.422537
LunarLander-v3,dueling_dqn,1,58,-24.6884,,0.416199
LunarLander-v3,dueling_dqn,1,59,-157.9639,,0.409956
LunarLander-v3,dueling_dqn,1,60,-86.449,-130.8428,0.403807
LunarLander-v3,dueling_dqn,1,61,-133.5889,,0.39775
LunarLander-v3,dueling_dqn,1,62,34.6117,,0.391784
LunarLander-v3,dueling_dqn,1,63,-34.6331,,0.385907
LunarLander-v3,dueling_dqn,1,64,-88.1329,,0.380118
LunarLander-v3,dueling_dqn,1,65,-36.5004,,0.374417
LunarLander-v3,dueling_dqn,1,66,-22.8669,,0.3688
LunarLander-v3,dueling_dqn,1,67,-44.2366,,0.363268
LunarLander-v3,dueling_dqn,1,68,-305.2511,,0.357819
LunarLander-v3,dueling_dqn,1,69,55.4299,,0.352452
LunarLander-v3,dueling_dqn,1,70,0.3153,,0.347165
LunarLander-v3,dueling_dqn,1,71,-17.1697,,0.341958
LunarLander-v3,dueling_dqn,1,72,32.3305,,0.336828
LunarLander-v3,dueling_dqn,1,73,-98.4509,,0.331776
LunarLander-v3,dueling_dqn,1,74,-219.7553,,0.326799
LunarLander-v3,dueling_dqn,1,75,-265.7231,,0.321897
LunarLander-v3,dueling_dqn,1,76,-188.3175,,0.317069
LunarLander-v3,dueling_dqn,1,77,-115.2953,,0.312313
LunarLander-v3,dueling_dqn,1,78,-69.6074,,0.307628
LunarLander-v3,dueling_dqn,1,79,-68.9557,,0.303014
LunarLander-v3,dueling_dqn,1,80,-15.7713,-123.0558,0.298468
LunarLander-v3,dueling_dqn,1,81,28.7051,,0.293991
LunarLander-v3,dueling_dqn,1,82,-176.815,,0.289582
LunarLander-v3,dueling_dqn,1,83,-92.3102,,0.285238
LunarLander-v3,dueling_dqn,1,84,-98.0007,,0.280959
LunarLander-v3,dueling_dqn,1,85,-35.5371,,0.276745
LunarLander-v3,dueling_dqn,1,86,-259.3998,,0.272594
LunarLander-v3,dueling_dqn,1,87,-46.3876,,0.268505
LunarLander-v3,dueling_dqn,1,88,-57.4354,,0.264477
LunarLander-v3,dueling_dqn,1,89,-19.8368,,0.26051
LunarLander-v3,dueling_dqn,1,90,17.016,,0.256602
LunarLander-v3,dueling_dqn,1,91,-300.8769,,0.252753
LunarLander-v3,dueling_dqn,1,92,-306.1839,,0.248962
LunarLander-v3,dueling_dqn,1,93,-264.3165,,0.245228
LunarLander-v3,dueling_dqn,1,94,42.6355,,0.241549
LunarLander-v3,dueling_dqn,1,95,-48.8488,,0.237926
LunarLander-v3,dueling_dqn,1,96,-226.0264,,0.234357
LunarLander-v3,dueling_dqn,1,97,-286.1083,,0.230842
LunarLander-v3,dueling_dqn,1,98,-92.5914,,0.227379
LunarLander-v3,dueling_dqn,1,99,-99.7052,,0.223968
LunarLander-v3,dueling_dqn,1,100,-21.9492,-159.816,0.220609
LunarLander-v3,dueling_dqn,1,101,-102.5008,,0.2173
LunarLander-v3,dueling_dqn,1,102,-128.7996,,0.21404
LunarLander-v3,dueling_dqn,1,103,-69.5665,,0.21083
LunarLander-v3,dueling_dqn,1,104,-328.8467,,0.207667
LunarLander-v3,dueling_dqn,1,105,-121.9234,,0.204552
LunarLander-v3,dueling_dqn,1,106,214.7989,,0.201484
LunarLander-v3,dueling_dqn,1,107,-257.7983,,0.198462
LunarLander-v3,dueling_dqn,1,108,221.3414,,0.195485
LunarLander-v3,dueling_dqn,1,109,-131.8863,,0.192552
LunarLander-v3,dueling_dqn,1,110,-100.9592,,0.189664
LunarLander-v3,dueling_dqn,1,111,-72.6715,,0.186819
LunarLander-v3,dueling_dqn,1,112,-97.2216,,0.184017
LunarLander-v3,dueling_dqn,1,113,-145.0801,,0.181257
LunarLander-v3,dueling_dqn,1,114,-75.5109,,0.178538
LunarLander-v3,dueling_dqn,1,115,-103.8585,,0.17586
LunarLander-v3,dueling_dqn,1,116,-106.2566,,0.173222
LunarLander-v3,dueling_dqn,1,117,-68.0175,,0.170624
LunarLander-v3,dueling_dqn,1,118,-126.7565,,0.168064
LunarLander-v3,dueling_dqn,1,119,255.9984,,0.165543
LunarLander-v3,dueling_dqn,1,120,-117.6419,-139.2816,0.16306
LunarLander-v3,dueling_dqn,1,121,-61.3153,,0.160614
LunarLander-v3,dueling_dqn,1,122,-106.0863,,0.158205
LunarLander-v3,dueling_dqn,1,123,-109.3326,,0.155832
LunarLander-v3,dueling_dqn,1,124,-98.8038,,0.153494
LunarLander-v3,dueling_dqn,1,125,22.9549,,0.151192
LunarLander-v3,dueling_dqn,1,126,-114.9279,,0.148924
LunarLander-v3,dueling_dqn,1,127,-102.6798,,0.14669
LunarLander-v3,dueling_dqn,1,128,-150.8797,,0.14449
LunarLander-v3,dueling_dqn,1,129,-10.4651,,0.142323
LunarLander-v3,dueling_dqn,1,130,-54.1925,,0.140188
LunarLander-v3,dueling_dqn,1,131,-106.8818,,0.138085
LunarLander-v3,dueling_dqn,1,132,-108.8564,,0.136014
LunarLander-v3,dueling_dqn,1,133,-55.0871,,0.133973
LunarLander-v3,dueling_dqn,1,134,-111.0309,,0.131964
LunarLander-v3,dueling_dqn,1,135,-163.8229,,0.129984
LunarLander-v3,dueling_dqn,1,136,-112.8375,,0.128035
LunarLander-v3,dueling_dqn,1,137,-114.7631,,0.126114
LunarLander-v3,dueling_dqn,1,138,-129.0603,,0.124222
LunarLander-v3,dueling_dqn,1,139,291.4461,,0.122359
LunarLander-v3,dueling_dqn,1,140,-153.0491,-69.1154,0.120524
LunarLander-v3,dueling_dqn,1,141,-50.9752,,0.118716
LunarLander-v3,dueling_dqn,1,142,-59.0637,,0.116935
LunarLander-v3,dueling_dqn,1,143,2.0803,,0.115181
LunarLander-v3,dueling_dqn,1,144,-139.3842,,0.113453
LunarLander-v3,dueling_dqn,1,145,235.8948,,0.111752
LunarLander-v3,dueling_dqn,1,146,-137.7633,,0.110075
LunarLander-v3,dueling_dqn,1,147,-2.0133,,0.108424
LunarLander-v3,dueling_dqn,1,148,-80.2852,,0.106798
LunarLander-v3,dueling_dqn,1,149,-124.3541,,0.105196
LunarLander-v3,dueling_dqn,1,150,-125.4273,,0.103618
LunarLander-v3,dueling_dqn,1,151,-120.927,,0.102064
LunarLander-v3,dueling_dqn,1,152,-110.1692,,0.100533
LunarLander-v3,dueling_dqn,1,153,-125.5173,,0.099025
LunarLander-v3,dueling_dqn,1,154,-105.4863,,0.097539
LunarLander-v3,dueling_dqn,1,155,-149.5889,,0.096076
LunarLander-v3,dueling_dqn,1,156,28.5696,,0.094635
LunarLander-v3,dueling_dqn,1,157,-101.2294,,0.093216
LunarLander-v3,dueling_dqn,1,158,-148.5923,,0.091817
LunarLander-v3,dueling_dqn,1,159,-140.5104,,0.09044
LunarLander-v3,dueling_dqn,1,160,-162.0092,-105.8377,0.089083
LunarLander-v3,dueling_dqn,1,161,-115.8568,,0.087747
LunarLander-v3,dueling_dqn,1,162,-76.4216,,0.086431
LunarLander-v3,dueling_dqn,1,163,-97.4077,,0.085134
LunarLander-v3,dueling_dqn,1,164,-5.1286,,0.083857
LunarLander-v3,dueling_dqn,1,165,3.2539,,0.0826
LunarLander-v3,dueling_dqn,1,166,-72.7857,,0.081361
LunarLander-v3,dueling_dqn,1,167,-99.1379,,0.08014
