environment,algorithm,seed,episode,train_reward,eval_reward,eval_reward_greedy,eval_reward_stochastic
LunarLander-v3,ppo_improved,0,109,-48.1029,,,
LunarLander-v3,ppo_improved,0,110,-252.179,,,
LunarLander-v3,ppo_improved,0,111,-132.3351,,,
LunarLander-v3,ppo_improved,0,112,-169.4681,,,
LunarLander-v3,ppo_improved,0,113,-82.5385,,,
LunarLander-v3,ppo_improved,0,114,-206.7775,,,
LunarLander-v3,ppo_improved,0,115,-50.0052,,,
LunarLander-v3,ppo_improved,0,116,-287.6728,,,
LunarLander-v3,ppo_improved,0,117,-160.1753,,,
LunarLander-v3,ppo_improved,0,118,-134.0368,,,
LunarLander-v3,ppo_improved,0,119,-149.5238,,,
LunarLander-v3,ppo_improved,0,120,-187.5719,,,
LunarLander-v3,ppo_improved,0,121,-127.3578,,,
LunarLander-v3,ppo_improved,0,122,-107.64,,,
LunarLander-v3,ppo_improved,0,123,-75.5704,,,
LunarLander-v3,ppo_improved,0,124,-121.9486,,,
LunarLander-v3,ppo_improved,0,125,-199.237,,,
LunarLander-v3,ppo_improved,0,126,-136.8878,,,
LunarLander-v3,ppo_improved,0,127,-281.5121,,,
LunarLander-v3,ppo_improved,0,128,-208.237,,,
LunarLander-v3,ppo_improved,0,129,-201.6945,,,
LunarLander-v3,ppo_improved,0,130,-72.3144,,,
LunarLander-v3,ppo_improved,0,131,-86.6488,,,
LunarLander-v3,ppo_improved,0,132,-165.5814,,,
LunarLander-v3,ppo_improved,0,133,-92.3894,,,
LunarLander-v3,ppo_improved,0,134,-134.9411,,,
LunarLander-v3,ppo_improved,0,135,-240.3294,,,
LunarLander-v3,ppo_improved,0,136,-153.9642,,,
LunarLander-v3,ppo_improved,0,137,-109.413,,,
LunarLander-v3,ppo_improved,0,138,-60.7961,,,
LunarLander-v3,ppo_improved,0,139,-185.0563,,,
LunarLander-v3,ppo_improved,0,140,-86.7244,,,
LunarLander-v3,ppo_improved,0,141,-112.1535,,,
LunarLander-v3,ppo_improved,0,142,-109.7626,,,
LunarLander-v3,ppo_improved,0,143,-109.982,,,
LunarLander-v3,ppo_improved,0,144,-99.1203,,,
LunarLander-v3,ppo_improved,0,145,-105.6704,,,
LunarLander-v3,ppo_improved,0,146,-109.3273,,,
LunarLander-v3,ppo_improved,0,147,-58.6929,,,
LunarLander-v3,ppo_improved,0,148,-106.9438,,,
LunarLander-v3,ppo_improved,0,149,-307.486,,,
LunarLander-v3,ppo_improved,0,150,-331.7585,-775.3597,-775.3597,-162.5441
LunarLander-v3,ppo_improved,0,151,-69.4297,,,
LunarLander-v3,ppo_improved,0,152,-305.6528,,,
LunarLander-v3,ppo_improved,0,153,-194.3435,,,
LunarLander-v3,ppo_improved,0,154,-250.7616,,,
LunarLander-v3,ppo_improved,0,155,-95.0966,,,
LunarLander-v3,ppo_improved,0,156,-304.4589,,,
LunarLander-v3,ppo_improved,0,157,-122.8964,,,
LunarLander-v3,ppo_improved,0,158,-69.4312,,,
LunarLander-v3,ppo_improved,0,159,-239.0857,,,
LunarLander-v3,ppo_improved,0,160,-93.0675,,,
LunarLander-v3,ppo_improved,0,161,-229.4653,,,
LunarLander-v3,ppo_improved,0,162,-467.1759,,,
LunarLander-v3,ppo_improved,0,163,-314.7768,,,
LunarLander-v3,ppo_improved,0,164,-391.9399,,,
LunarLander-v3,ppo_improved,0,165,-195.6874,,,
LunarLander-v3,ppo_improved,0,166,-82.8141,,,
LunarLander-v3,ppo_improved,0,167,-7.8987,,,
LunarLander-v3,ppo_improved,0,168,-93.1087,,,
LunarLander-v3,ppo_improved,0,169,-80.2323,,,
LunarLander-v3,ppo_improved,0,170,-65.9485,,,
LunarLander-v3,ppo_improved,0,171,-195.7211,,,
LunarLander-v3,ppo_improved,0,172,-140.3756,,,
LunarLander-v3,ppo_improved,0,173,-67.288,,,
LunarLander-v3,ppo_improved,0,174,-106.8708,,,
LunarLander-v3,ppo_improved,0,175,-293.2821,,,
LunarLander-v3,ppo_improved,0,176,-38.8434,,,
LunarLander-v3,ppo_improved,0,177,-238.9395,,,
LunarLander-v3,ppo_improved,0,178,-512.539,,,
LunarLander-v3,ppo_improved,0,179,-173.6089,,,
LunarLander-v3,ppo_improved,0,180,-223.4559,,,
LunarLander-v3,ppo_improved,0,181,-162.1641,,,
LunarLander-v3,ppo_improved,0,182,-89.4511,,,
LunarLander-v3,ppo_improved,0,183,-368.5112,,,
LunarLander-v3,ppo_improved,0,184,-264.2794,,,
LunarLander-v3,ppo_improved,0,185,-103.8465,,,
LunarLander-v3,ppo_improved,0,186,-111.6763,,,
LunarLander-v3,ppo_improved,0,187,-293.4184,,,
LunarLander-v3,ppo_improved,0,188,-411.3646,,,
LunarLander-v3,ppo_improved,0,189,-182.9228,,,
LunarLander-v3,ppo_improved,0,190,-468.1387,,,
LunarLander-v3,ppo_improved,0,191,-212.2213,,,
LunarLander-v3,ppo_improved,0,192,-32.0792,,,
LunarLander-v3,ppo_improved,0,193,-66.015,,,
LunarLander-v3,ppo_improved,0,194,-317.0219,,,
LunarLander-v3,ppo_improved,0,195,-164.3893,,,
LunarLander-v3,ppo_improved,0,196,-78.3034,,,
LunarLander-v3,ppo_improved,0,197,-79.1549,,,
LunarLander-v3,ppo_improved,0,198,-360.3227,,,
LunarLander-v3,ppo_improved,0,199,-516.2032,,,
LunarLander-v3,ppo_improved,0,200,-226.7296,-916.9445,-916.9445,-381.6586
LunarLander-v3,ppo_improved,0,201,-68.5458,,,
LunarLander-v3,ppo_improved,0,202,-72.9741,,,
LunarLander-v3,ppo_improved,0,203,-72.3897,,,
LunarLander-v3,ppo_improved,0,204,-286.8415,,,
LunarLander-v3,ppo_improved,0,205,-27.0608,,,
LunarLander-v3,ppo_improved,0,206,-85.3125,,,
LunarLander-v3,ppo_improved,0,207,-360.6609,,,
LunarLander-v3,ppo_improved,0,208,-89.2766,,,
LunarLander-v3,ppo_improved,0,209,-188.5105,,,
LunarLander-v3,ppo_improved,0,210,-45.366,,,
LunarLander-v3,ppo_improved,0,211,-143.9217,,,
LunarLander-v3,ppo_improved,0,212,-146.1016,,,
LunarLander-v3,ppo_improved,0,213,-337.8376,,,
LunarLander-v3,ppo_improved,0,214,-151.4365,,,
LunarLander-v3,ppo_improved,0,215,-315.4594,,,
LunarLander-v3,ppo_improved,0,216,-204.4498,,,
LunarLander-v3,ppo_improved,0,217,-226.4686,,,
LunarLander-v3,ppo_improved,0,218,-224.114,,,
LunarLander-v3,ppo_improved,0,219,-569.3126,,,
LunarLander-v3,ppo_improved,0,220,-154.7362,,,
LunarLander-v3,ppo_improved,0,221,-20.0424,,,
LunarLander-v3,ppo_improved,0,222,-46.3531,,,
LunarLander-v3,ppo_improved,0,223,-161.6319,,,
LunarLander-v3,ppo_improved,0,224,-584.6687,,,
LunarLander-v3,ppo_improved,0,225,-250.3543,,,
LunarLander-v3,ppo_improved,0,226,-64.8722,,,
LunarLander-v3,ppo_improved,0,227,-94.5429,,,
LunarLander-v3,ppo_improved,0,228,-49.7058,,,
LunarLander-v3,ppo_improved,0,229,-209.9798,,,
